pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
09937406;all_articles,inhalationsgeraet0zubehoer;1;abda_artikel;;;;;;;;;;;;;;;;;;4150099374066
11326006;all_articles,maennerpflege0koerperpflege;1;abda_artikel;;;;;;;;;;;;;;;;;;04005900681188
07234988;all_articles,diabetes0blutzuckermessgeraetzubehoer0lanzetten;1;abda_artikel;;;;;;;;;;;;;;;;;;04015630057870
11138368;all_articles,besondere_geschenke,bis020eur,geschenkideen0geschenke0fuer0oma,geschenkideen0geschenke0fuer0opa,geschenkideen_fuer_frauen,geschenkideen_fuer_maenner,geschenkset,kind0und0familie0baby0und0kind0speziell0fuer0kinder,schmerzen0und0verletzungen0kaelte0und0waermetherapie0waermetherapie0waermekissen0kinder,themenwelten0homeoffice0nacken0verspannt0rueckenschmerzen,weihnachtsgeschenke_fuer_kinder;1;abda_artikel;;;;;;;;;;;;;;;;;;04260394910514
12489408;all_articles,kind0und0familie0baby0babypflege0baby0nagelschere;1;abda_artikel;;;;;;;;;;;;;;;;;;08058664009916
05867927;all_articles,massage0gleitmittel0co;1;abda_artikel;;;;;;;;;;;;;;;;;;04028403143267
13657977;all_articles,diabetes0blutzuckermessgeraete0weitere;1;abda_artikel;3346279800;;;;;;;;;;;;;;;;;07613117021894
06904607;all_articles,nahrungsergaenzung0aus0der0natur;1;abda_artikel;;;;;;;;;;;;;;;;;;00000042216049
12362062;all_articles,kind0und0familie0haushalt0bonbons;1;abda_artikel;;;;;;;;;;;;;;;;;;04250424159273
11286525;all_articles,nachhaltigkeit0pflegeprodukte,pflegebedarf0inkontinenzprodukte0inkontinenzeinlagen0frauen;1;abda_artikel;;;;;;;;;;;;;;;;;;08432984000257
00059884;all_articles,original0bachblueten0einzelessenzen;1;abda_artikel;;;;;;;;;;;;;;;;;;05000488105469
08886492;all_articles,verbandsmaterial0binden0fixierbinde0kohaesive,verbandsmaterial0binden0haftbinden;1;abda_artikel;;;;;;;;;;;;;;;;;;04049500812825
09634462;all_articles,mund0und0zaehne0mundpflegeprodukte0mundspuelloesung0mundwasser0ohne0alkohol;1;abda_artikel;;;;;;;;;;;;;;;;;;04026600150200
11195372;all_articles,diabetes0diabetische0insulinversorgung0kanuele;1;abda_artikel;;;;;;;;;;;;;;;;;;07613117014735
11217642;all_articles,venenleiden;1;abda_artikel;;;;;;;;;;;;;;;;;;04028393380581
15875046;all_articles,mgo040,mund0und0zaehne0zahnpflegeprodukte0zahnpasta0ohne0fluorid;1;abda_artikel;;;;;;;;;;;;;;;;;;09421023620982
15822908;all_articles,kompressionstherapie,venenleiden;1;abda_artikel;;;;;;;;;;;;;;;;;;04005800265358
16667479;all_articles,nahrungsergaenzung0aus0der0natur;1;abda_artikel;3351095800;;;;;;;;;;;;;;;;;04260048583040
10183680;all_articles,artikel,sport0sportlernahrung0protein0shakes;1;abda_artikel;;;;;;;;;;;;;;;;;;04260180441048
15580871;all_articles,gesichtspflege0dekorative0kosmetik0makeup0foundation,medipharma0cosmetics0makeup0hyaluron;1;abda_artikel;;;;;;;;;;;;;;;;;;04016369427606
15580888;all_articles,gesichtspflege0dekorative0kosmetik0makeup0foundation,medipharma0cosmetics0makeup0hyaluron;1;abda_artikel;;;;;;;;;;;;;;;;;;04016369527061
16488624;all_articles,amazon0pay0blacklist,wellness0cbd0creme0gesichtspflege0tagescreme;1;abda_artikel;;;;;;;;;;;;;;;;;;00753626134788
13879413;all_articles,mund0und0zaehne0zahnpflegeprodukte0zahnaufheller;1;abda_artikel;3350752900;;;;;;;;;;;;;;;;;04008890008980
16568642;all_articles,amazon0pay0blacklist,nachhaltigkeit0ohne0mikroplastik0gesichtspflegeprodukte,wellness0cbd0creme0gesichtspflege0augencreme;1;abda_artikel;;;;;;;;;;;;;;;;;;09120071862473
